objective.1,ndcg@1,ndcg@3,ndcg@5,ndcg@10,w,pn
secondary,0.6070428171268513,0.5972166392222165,0.5992204995659273,0.6058936457949442,0.4102040816326531,10
primary,0.5647258903561427,0.5436946215118731,0.5413850787772226,0.5432063476267608,0.4265306122448979,10
secondary,0.6134453781512611,0.6082273387687217,0.6103295042516188,0.6190233320857105,0.4265306122448979,10
primary,0.5526210484193681,0.5424769899663829,0.5399042654169713,0.5434693477831919,0.4428571428571428,10
secondary,0.6226490596238502,0.6137493240109391,0.6164769910828368,0.6257621051053234,0.4428571428571428,10
primary,0.5630252100840341,0.5439228696453579,0.5394510613331798,0.5398908152383924,0.4591836734693878,10
secondary,0.6410564225690283,0.6371017458957505,0.6375914220862012,0.6447964590842055,0.4591836734693878,10
primary,0.5541216486594643,0.5413922557711139,0.5362139609105283,0.5388092378534903,0.4755102040816327,10
secondary,0.6438575430172074,0.6383626759538433,0.640211094883118,0.6487739334575149,0.4755102040816327,10
primary,0.561724689875951,0.5361778369842254,0.5315381799009467,0.5349598020595752,0.4918367346938775,10
secondary,0.66186474589836,0.6497151316497358,0.6503389204215794,0.6605823947571314,0.4918367346938775,10
primary,0.5629251700680277,0.5351488346571837,0.5289513998804667,0.533414286212955,0.5081632653061224,10
secondary,0.6646658663465391,0.6623315040395511,0.6653810934940166,0.6753853800632763,0.5081632653061224,10
primary,0.5564225690276116,0.5314498491826907,0.5265846202880751,0.5298494066138318,0.5244897959183674,10
secondary,0.6830732292917173,0.6744234102030675,0.6773399236747546,0.6868124163913866,0.5244897959183674,10
primary,0.5583233293317333,0.5314078549535258,0.5275643523050337,0.5270638843429418,0.5408163265306123,10
secondary,0.6954781912765108,0.6899570555480502,0.6919667392650942,0.7031742458353989,0.5408163265306123,10
primary,0.5553221288515413,0.5292978613069671,0.5229649027498962,0.5241455394433386,0.5571428571428572,10
secondary,0.690676270508204,0.7002936174334087,0.7060873129053469,0.713078142190497,0.5571428571428572,10
primary,0.5445178071228497,0.5234113456894746,0.5195820331250998,0.5174690732480355,0.573469387755102,10
secondary,0.7202881152460985,0.7223618568163681,0.7248773324539762,0.7309626299133638,0.573469387755102,10
primary,0.5324129651860747,0.5160195464800108,0.512051762098175,0.5110369751838613,0.589795918367347,10
secondary,0.7286914765906364,0.7409085956258571,0.7441488825043973,0.7472563498759598,0.589795918367347,10
primary,0.541416566626651,0.5166140848913391,0.5103438939389047,0.5102378615689351,0.6061224489795919,10
secondary,0.7486994797919171,0.7486789909452828,0.7518137397805578,0.7594884325274665,0.6061224489795919,10
primary,0.5314125650260108,0.5112234356871551,0.5053401689055961,0.5042563192078403,0.6224489795918368,10
secondary,0.7595038015206081,0.7665576535005827,0.7712816907766622,0.7755243378021632,0.6224489795918368,10
primary,0.5298119247699081,0.5032415345240159,0.4985956477195182,0.4986594690394402,0.6387755102040816,10
secondary,0.7667066826730696,0.7827273989614484,0.7852294058454056,0.7906941363383315,0.6387755102040816,10
primary,0.521508603441377,0.4975407805414716,0.495326608755869,0.4927640000846062,0.6551020408163265,10
secondary,0.7855142056822729,0.7985783652464529,0.7966438311717912,0.8029580790538353,0.6551020408163265,10
primary,0.5184073629451783,0.498912771658195,0.4927356713758025,0.4862079648025219,0.6714285714285715,10
secondary,0.8059223689475794,0.8091456233747469,0.8141810290011793,0.8176412456842044,0.6714285714285715,10
primary,0.5010004001600641,0.4882969036249976,0.4800416224052832,0.4763748929967792,0.6877551020408164,10
secondary,0.8211284513805528,0.8266037950684771,0.829913292395451,0.8339334404044116,0.6877551020408164,10
primary,0.5143057222889157,0.4908026040736751,0.48053951061875,0.4729610907305603,0.7040816326530612,10
secondary,0.829931972789116,0.8371413355469769,0.842113669817617,0.8469249379874378,0.7040816326530612,10
primary,0.5074029611844737,0.4779934326707513,0.4738286075634035,0.4655280091500508,0.7204081632653062,10
secondary,0.8451380552220895,0.8564869255308835,0.8565412083112434,0.8613308744802102,0.7204081632653062,10
primary,0.5004001600640257,0.4754286656691512,0.4669163983735657,0.45961576382258,0.7367346938775511,10
secondary,0.8643457382953181,0.8701922674492554,0.8734374021332354,0.8774588079500576,0.7367346938775511,10
primary,0.4893957583033213,0.463345669309966,0.4556906349864273,0.4495524228498027,0.753061224489796,10
secondary,0.8711484593837533,0.8879263178602154,0.8912693615352296,0.8922933438064393,0.753061224489796,10
primary,0.477390956382553,0.4557063193606181,0.4460147054182925,0.4411983499421003,0.7693877551020408,10
